ID,Parent_ID,Category
10339,10055,/Beauty & Personal Care/Hair Care/Hair Styling
10340,10339,/Beauty & Personal Care/Hair Care/Hair Styling/Hair Brushes & Styling Equipment
10333,10339,/Beauty & Personal Care/Hair Care/Hair Styling/Hair Salons & Styling Services
10338,10055,/Beauty & Personal Care/Hair Care/Shampoos & Conditioners
10332,10055,/Beauty & Personal Care/Hair Care/Wigs & Wig Accessories
10060,10005,/Beauty & Personal Care/Hygiene & Toiletries
10355,10060,"/Beauty & Personal Care/Hygiene & Toiletries/Antiperspirants, Deodorants & Body Spray"
10354,10060,"/Beauty & Personal Care/Hygiene & Toiletries/Cotton Swabs, Balls & Pads"
10356,10060,/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products
11432,10356,/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products/Sanitary Pads & Napkins
11433,10356,/Beauty & Personal Care/Hygiene & Toiletries/Feminine Hygiene Products/Tampons
13866,10005,/Beauty & Personal Care/Insect Repellent
10053,10005,/Beauty & Personal Care/Lip Care
10054,10005,/Beauty & Personal Care/Make-Up & Cosmetics
10325,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Blush
10329,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Concealer
10324,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up
11419,10324,/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up/Eyeshadow
11420,10324,/Beauty & Personal Care/Make-Up & Cosmetics/Eye Make-Up/Mascara & Eyelash Products
10327,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Face Powder
10330,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Foundation
10323,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Lipsticks & Lip Glosses
10331,10054,/Beauty & Personal Care/Make-Up & Cosmetics/Make-Up Brushes & Tools
10051,10005,/Beauty & Personal Care/Nail Care
10322,"1,00,51,10,049",/Beauty & Personal Care/Nail Care/Manicures & Pedicures
10320,10051,/Beauty & Personal Care/Nail Care/Nail Care Tools
10321,10051,/Beauty & Personal Care/Nail Care/Nail Fungus Products
10319,"1,00,51,10,054",/Beauty & Personal Care/Nail Care/Nail Polish & Nail Polish Accessories
10059,10005,/Beauty & Personal Care/Oral Care
10345,10059,/Beauty & Personal Care/Oral Care/Canker Sore Treatments
10349,"1,00,59,10,438",/Beauty & Personal Care/Oral Care/Dental Care Gum
10347,10059,/Beauty & Personal Care/Oral Care/Dental Floss & Gum Health
10353,10059,/Beauty & Personal Care/Oral Care/Denture Care
10348,"1,00,59,10,060",/Beauty & Personal Care/Oral Care/Mouthwash
10346,10059,/Beauty & Personal Care/Oral Care/Teeth Whitening
10351,10059,/Beauty & Personal Care/Oral Care/Toothache Relief
10352,"1,00,59,10,060",/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories
11431,10352,/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories/Manual Toothbrushes
11430,10352,/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories/Powered Toothbrushes
10350,"1,00,59,10,060",/Beauty & Personal Care/Oral Care/Toothpaste
10057,10005,/Beauty & Personal Care/Perfumes & Fragrances
10058,10005,/Beauty & Personal Care/Shaving & Grooming
10342,"1,00,58,10,060",/Beauty & Personal Care/Shaving & Grooming/Personal Grooming Kits & Equipment
11425,"1,00,58,10,060",/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers
12726,11425,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers
13244,12726,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers/Men's Electric Shavers
13243,12726,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers/Women's Electric Shavers & Epilators
12727,11425,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors
13246,12727,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors/Men's Razors
13245,12727,/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors/Women's Razors
10343,10058,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal
12724,10343,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Electrolysis
11422,10343,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Hair Removal Creams
12725,10343,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Laser Hair Removal
12723,10343,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Professional Waxing
